accession	lineage_index	taxon_name
P00734	0	Eukaryota
P00734	1	Metazoa
P00734	2	Chordata
P00734	3	Craniata
P00734	4	Vertebrata
P00734	5	Euteleostomi
P00734	6	Mammalia
P00734	7	Eutheria
P00734	8	Euarchontoglires
P00734	9	Primates
P00734	10	Haplorrhini
P00734	11	Catarrhini
P00734	12	Hominidae
P00734	13	Homo
P01013	0	Eukaryota
P01013	1	Metazoa
P01013	2	Chordata
P01013	3	Craniata
P01013	4	Vertebrata
P01013	5	Euteleostomi
P01013	6	Archelosauria
P01013	7	Archosauria
P01013	8	Dinosauria
P01013	9	Saurischia
P01013	10	Theropoda
P01013	11	Coelurosauria
P01013	12	Aves
P01013	13	Neognathae
P01013	14	Galloanserae
P01013	15	Galliformes
P01013	16	Phasianidae
P01013	17	Phasianinae
P01013	18	Gallus
P68871	0	Eukaryota
P68871	1	Metazoa
P68871	2	Chordata
P68871	3	Craniata
P68871	4	Vertebrata
P68871	5	Euteleostomi
P68871	6	Mammalia
P68871	7	Eutheria
P68871	8	Euarchontoglires
P68871	9	Primates
P68871	10	Haplorrhini
P68871	11	Catarrhini
P68871	12	Hominidae
P68871	13	Homo
P69905	0	Eukaryota
P69905	1	Metazoa
P69905	2	Chordata
P69905	3	Craniata
P69905	4	Vertebrata
P69905	5	Euteleostomi
P69905	6	Mammalia
P69905	7	Eutheria
P69905	8	Euarchontoglires
P69905	9	Primates
P69905	10	Haplorrhini
P69905	11	Catarrhini
P69905	12	Hominidae
P69905	13	Homo
Q9Y2X3	0	Eukaryota
Q9Y2X3	1	Metazoa
Q9Y2X3	2	Chordata
Q9Y2X3	3	Craniata
Q9Y2X3	4	Vertebrata
Q9Y2X3	5	Euteleostomi
Q9Y2X3	6	Mammalia
Q9Y2X3	7	Eutheria
Q9Y2X3	8	Euarchontoglires
Q9Y2X3	9	Primates
Q9Y2X3	10	Haplorrhini
Q9Y2X3	11	Catarrhini
Q9Y2X3	12	Hominidae
Q9Y2X3	13	Homo
